37.4840 	EXP 	grating: autoDraw = False
37.5197 	DATA 	Keypress: right
37.5341 	EXP 	fixation: autoDraw = False
37.5341 	EXP 	grating: autoDraw = False
37.5341 	EXP 	grating: ori = -19.5
37.5341 	EXP 	fixation: autoDraw = True
37.8694 	DATA 	Keypress: right
38.0173 	EXP 	grating: autoDraw = True
38.0355 	EXP 	fixation: autoDraw = False
38.1874 	DATA 	Keypress: right
38.2008 	EXP 	fixation: autoDraw = False
38.2008 	EXP 	grating: autoDraw = False
38.2008 	EXP 	grating: ori = 20.0
38.2008 	EXP 	fixation: autoDraw = True
38.5363 	DATA 	Keypress: right
38.7005 	EXP 	fixation: autoDraw = False
38.7005 	EXP 	grating: autoDraw = True
38.8537 	DATA 	Keypress: right
38.8673 	EXP 	fixation: autoDraw = False
38.8673 	EXP 	grating: autoDraw = False
38.8673 	EXP 	grating: ori = -20.0
38.8673 	EXP 	fixation: autoDraw = True
39.2020 	DATA 	Keypress: right
39.3672 	EXP 	fixation: autoDraw = False
39.3672 	EXP 	grating: autoDraw = True
39.5369 	DATA 	Keypress: right
39.5505 	EXP 	fixation: autoDraw = False
39.5505 	EXP 	grating: autoDraw = False
39.5505 	EXP 	grating: ori = -20.0
39.5505 	EXP 	fixation: autoDraw = True
39.8697 	DATA 	Keypress: right
40.0502 	EXP 	fixation: autoDraw = False
40.0502 	EXP 	grating: autoDraw = True
40.2033 	DATA 	Keypress: right
40.2170 	EXP 	fixation: autoDraw = False
40.2170 	EXP 	grating: autoDraw = False
40.2170 	EXP 	grating: ori = 20.0
40.2170 	EXP 	fixation: autoDraw = True
40.5346 	DATA 	Keypress: right
40.7168 	EXP 	fixation: autoDraw = False
40.7168 	EXP 	grating: autoDraw = True
40.8867 	DATA 	Keypress: right
40.8995 	EXP 	fixation: autoDraw = False
40.8995 	EXP 	grating: autoDraw = False
40.8995 	EXP 	grating: ori = 20.0
40.8995 	EXP 	fixation: autoDraw = True
41.2194 	DATA 	Keypress: right
41.3999 	EXP 	fixation: autoDraw = False
41.3999 	EXP 	grating: autoDraw = True
41.5534 	DATA 	Keypress: right
41.5662 	EXP 	fixation: autoDraw = False
41.5662 	EXP 	grating: autoDraw = False
41.5662 	EXP 	grating: ori = 20.0
41.5662 	EXP 	fixation: autoDraw = True
41.9011 	DATA 	Keypress: right
42.0666 	EXP 	fixation: autoDraw = False
42.0666 	EXP 	grating: autoDraw = True
42.2691 	DATA 	Keypress: right
42.2831 	EXP 	fixation: autoDraw = False
42.2831 	EXP 	grating: autoDraw = False
42.2831 	EXP 	grating: ori = -19.5
42.2831 	EXP 	fixation: autoDraw = True
42.6018 	DATA 	Keypress: right
42.7830 	EXP 	fixation: autoDraw = False
42.7830 	EXP 	grating: autoDraw = True
42.9372 	DATA 	Keypress: right
42.9502 	EXP 	fixation: autoDraw = False
42.9502 	EXP 	grating: autoDraw = False
42.9502 	EXP 	grating: ori = -20.0
42.9502 	EXP 	fixation: autoDraw = True
43.3399 	DATA 	Keypress: right
43.4494 	EXP 	fixation: autoDraw = False
43.4494 	EXP 	grating: autoDraw = True
43.6850 	DATA 	Keypress: right
43.6990 	EXP 	fixation: autoDraw = False
43.6990 	EXP 	grating: autoDraw = False
43.6990 	EXP 	grating: ori = -20.0
43.6990 	EXP 	fixation: autoDraw = True
44.0505 	DATA 	Keypress: right
44.1984 	EXP 	fixation: autoDraw = False
44.1984 	EXP 	grating: autoDraw = True
